Date,IDR,NEER
8/17/2007,12747.67,92.5228
8/20/2007,12653.96,91.9846
8/21/2007,12751.55,90.1004
8/22/2007,12676.67,88.3826
8/23/2007,12695.76,88.8366
8/24/2007,12804.91,90.2948
8/27/2007,12811.2,91.7409
8/28/2007,12837.33,92.3403
8/29/2007,12833.59,90.4128
8/30/2007,12820.62,90.7749
8/31/2007,12869,90.9971
9/3/2007,12799.08,90.9356
9/4/2007,12771.99,91.7604
9/5/2007,12770.68,91.8837
9/6/2007,12845.44,92.8064
9/7/2007,12870.82,92.4911
9/10/2007,12987.99,93.6488
9/11/2007,13049.86,92.9811
9/12/2007,13062.31,93.0677
9/13/2007,13066.65,92.7461
9/14/2007,13000.68,92.3778
9/17/2007,13027.03,92.3996
9/18/2007,13003.78,92.3954
9/19/2007,12891.94,92.4338
9/20/2007,12851.48,93.1178
9/21/2007,12868.88,93.4539
9/24/2007,12878.11,94.8834
9/25/2007,12931.68,95.456
9/26/2007,12941.74,96.6209
9/27/2007,12960.52,95.7408
9/28/2007,12966.7,95.1436
10/1/2007,12929.77,95.1136
10/2/2007,12876.69,95.6356
10/3/2007,12951.52,96.2714
10/4/2007,12874.46,96.1798
10/5/2007,12849.62,95.9041
10/8/2007,12778.72,96.23
10/9/2007,12738.58,94.5242
10/10/2007,12837.5,93.842
10/11/2007,12864.29,93.9726
10/12/2007,12840.74,94.3083
10/15/2007,12888.76,93.8936
10/16/2007,12819.9,94.4564
10/17/2007,12914.9,94.2467
10/18/2007,13001.37,94.1622
10/19/2007,12987.79,94.1562
10/22/2007,12940.64,94.0555
10/23/2007,13028.16,94.2372
10/24/2007,13059.58,94.2901
10/25/2007,13099.89,94.6325
10/26/2007,13121.8,94.7468
10/29/2007,13088.61,94.8382
10/30/2007,13117.57,95.0391
10/31/2007,13142.44,94.9313
11/1/2007,13135.03,95.3246
11/2/2007,13222.95,95.0179
11/5/2007,13271.01,95.6567
11/6/2007,13263.23,96.2808
11/7/2007,13426.46,95.8737
11/8/2007,13396.66,95.9708
11/9/2007,13398.24,96.0971
11/12/2007,13368.94,96.8138
11/13/2007,13415.07,97.1747
11/14/2007,13553.4,96.9241
11/15/2007,13631.84,96.5055
11/16/2007,13654.73,96.3881
11/19/2007,13672.18,97.2231
11/20/2007,13823.98,97.0478
11/21/2007,13932.57,97.075
11/22/2007,13910.34,96.9383
11/23/2007,13870.11,97.2257
11/26/2007,13924.61,97.4173
11/27/2007,13981.56,97.5608
11/28/2007,13887.99,97.7576
11/29/2007,13824.24,97.998
11/30/2007,13831.06,98.1058
12/3/2007,13683.38,98.8266
12/4/2007,13698.81,99.0341
12/5/2007,13638.08,98.5886
12/6/2007,13484.28,97.6504
12/7/2007,13583.29,98.5796
12/10/2007,13637.7,98.3887
12/11/2007,13608.28,98.4914
12/12/2007,13648.48,98.1004
12/13/2007,13669.87,97.8136
12/14/2007,13533.27,98.63
12/17/2007,13551.01,98.6143
12/18/2007,13543.83,99.3401
12/19/2007,13565.06,99.667
12/20/2007,13531.11,100.2796
12/21/2007,13556.75,101.701
12/24/2007,13555.72,103.1921
12/27/2007,13670.44,102.149
12/28/2007,13802.4,100.4365
12/31/2007,13826.7,100.9952
1/2/2008,13777.34,100.5249
1/3/2008,13893.64,101.9263
1/4/2008,13894.92,102.6423
1/7/2008,13899.25,103.0296
1/8/2008,13896.96,101.8085
1/9/2008,13857.19,102.4173
1/10/2008,13837.26,102.9551
1/11/2008,13956.99,103.0775
1/14/2008,14045.99,104.6617
1/15/2008,14037.5,104.0275
1/16/2008,13971.04,103.7833
1/17/2008,13863.9,104.116
1/18/2008,13863.26,104.5677
1/21/2008,13699.97,104.4559
1/22/2008,13740.31,103.6504
1/23/2008,13684.99,103.7042
1/24/2008,13748.76,104.4154
1/25/2008,13719.77,103.9592
1/28/2008,13795.93,104.0373
1/29/2008,13772.87,103.7392
1/30/2008,13754.79,103.8219
1/31/2008,13749.55,103.8628
2/1/2008,13709.05,104.0302
2/4/2008,13664.18,104.3042
2/5/2008,13527.65,104.3848
2/6/2008,13512.73,104.0976
2/7/2008,13464.67,104.1365
2/8/2008,13406.38,104.4586
2/11/2008,13487.71,104.8764
2/12/2008,13469.46,105.4099
2/13/2008,13506.64,105.8323
2/14/2008,13477.86,106.168
2/15/2008,13456.06,105.3801
2/18/2008,13408.04,107.0558
2/19/2008,13518.41,106.9805
2/20/2008,13468.86,107.7221
2/21/2008,13505.54,107.6836
2/22/2008,13618.59,107.4558
2/25/2008,13527.92,109.3075
2/26/2008,13516,111.5103
2/27/2008,13619.33,109.5365
2/28/2008,13722.31,106.6292
2/29/2008,13800,105.2737
3/3/2008,13849.93,106.856
3/4/2008,13814.65,108.9325
3/5/2008,13811.64,108.5323
3/6/2008,13879.01,109.0339
3/7/2008,13967.8,108.9401
3/10/2008,14082.12,108.8386
3/11/2008,14128.69,109.5723
3/12/2008,14176.93,109.7515
3/13/2008,14354.21,109.8473
3/14/2008,14367.47,109.9337
3/17/2008,14610.91,109.1551
3/18/2008,14509.32,109.0201
3/19/2008,14413.1,108.5497
3/20/2008,14243.14,107.2254
3/25/2008,14300.13,108.0209
3/26/2008,14437.49,106.4634
3/27/2008,14523.12,107.0147
3/28/2008,14540.22,106.1887
3/31/2008,14570.76,104.2778
4/1/2008,14443.22,105.6403
4/2/2008,14350.18,104.6432
4/3/2008,14361.55,104.0452
4/4/2008,14519.27,104.1255
4/7/2008,14429.71,101.5403
4/8/2008,14430.63,101.942
4/9/2008,14483.65,101.7017
4/10/2008,14593.09,101.4634
4/11/2008,14539.44,102.976
4/14/2008,14583.61,102.7353
4/15/2008,14553.85,102.2497
4/16/2008,14639.42,104.1547
4/17/2008,14586.37,102.8306
4/18/2008,14493.93,102.1411
4/21/2008,14602.31,102.4876
4/22/2008,14632.62,101.2559
4/23/2008,14680.74,100.9726
4/24/2008,14539.02,102.4053
4/25/2008,14387.31,103.1914
4/28/2008,14401.2,102.3567
4/29/2008,14356.46,102.6861
4/30/2008,14330.99,102.7459
5/2/2008,14260.01,103.6693
5/5/2008,14243.3,103.8549
5/6/2008,14301.29,104.5958
5/7/2008,14234.18,104.4868
5/8/2008,14242.02,105.6799
5/9/2008,14283.19,105.3142
5/12/2008,14263.49,105.8479
5/13/2008,14328,105.5994
5/14/2008,14350.55,105.5511
5/15/2008,14406.29,105.6287
5/16/2008,14389.89,105.2511
5/19/2008,14455.46,105.7704
5/20/2008,14520.81,105.6773
5/21/2008,14637.69,105.2157
5/22/2008,14667.91,105.062
5/23/2008,14660.52,104.9498
5/26/2008,14736.54,105.1232
5/27/2008,14711.96,105.3101
5/28/2008,14560.08,105.1287
5/29/2008,14477.98,104.7739
5/30/2008,14445.7,104.7661
6/2/2008,14442.29,104.8957
6/3/2008,14517.08,105.5311
6/4/2008,14407.35,105.481
6/5/2008,14331.56,105.4538
6/6/2008,14544.2,105.119
6/9/2008,14734.36,104.3657
6/10/2008,14493.52,104.4415
6/11/2008,14436.71,104.531
6/12/2008,14376.35,104.5858
6/13/2008,14277.82,104.029
6/16/2008,14400.06,104.6457
6/17/2008,14398.25,105.2046
6/18/2008,14385.25,104.9556
6/19/2008,14377.2,104.8297
6/20/2008,14454.86,104.7201
6/23/2008,14392.62,104.8546
