Date,ILS
2/27/2015,4.4816
3/2/2015,4.4796
3/3/2015,4.4566
3/4/2015,4.4334
3/5/2015,4.427
3/6/2015,4.3823
3/9/2015,4.3573
3/10/2015,4.3332
3/11/2015,4.276
3/12/2015,4.269
3/13/2015,4.2527
3/16/2015,4.2381
3/17/2015,4.2666
3/18/2015,4.2683
3/19/2015,4.2777
3/20/2015,4.3718
3/23/2015,4.3708
3/24/2015,4.3072
3/25/2015,4.3314
3/26/2015,4.3239
3/27/2015,4.31
3/30/2015,4.3019
3/31/2015,4.2795
4/1/2015,4.2811
4/2/2015,4.2762
4/7/2015,4.267
4/8/2015,4.2746
4/9/2015,4.2446
4/10/2015,4.213
4/13/2015,4.2239
4/14/2015,4.2108
4/15/2015,4.2095
4/16/2015,4.2206
4/17/2015,4.239
4/20/2015,4.2133
4/21/2015,4.2198
4/22/2015,4.2236
4/23/2015,4.2464
4/24/2015,4.2478
4/27/2015,4.2497
4/28/2015,4.2577
4/29/2015,4.2601
4/30/2015,4.334
