Date,HUF,NEER
2/27/2002,245.51,100.8616
2/28/2002,245.63,100.5415
3/1/2002,245.55,100.4417
3/4/2002,244.62,100.4171
3/5/2002,243.92,100.3812
3/6/2002,244.29,100.1694
3/7/2002,244.85,100.4727
3/8/2002,246.12,100.6686
3/11/2002,244.55,100.6622
3/12/2002,244.9,100.4695
3/13/2002,245.85,100.603
3/14/2002,245.83,100.7849
3/15/2002,245.96,100.4972
3/18/2002,245.35,100.0383
3/19/2002,245.33,98.7009
3/20/2002,244.41,97.976
3/21/2002,244.26,97.735
3/22/2002,244.25,97.0322
3/25/2002,244.15,97.3979
3/26/2002,244.1,98.4684
3/27/2002,243.75,99.573
3/28/2002,243.54,99.9166
4/2/2002,243.48,99.7894
4/3/2002,242.96,100.1384
4/4/2002,242.1,100.7116
4/5/2002,243.25,100.9187
4/8/2002,243.02,100.7451
4/9/2002,242.71,100.4215
4/10/2002,242.49,99.7775
4/11/2002,241.35,100.7612
4/12/2002,242,100.5822
4/15/2002,241.35,100.3892
4/16/2002,241.85,100.4347
4/17/2002,242.15,99.9731
4/18/2002,241.85,100.0438
4/19/2002,242.25,99.964
4/22/2002,241.76,100.2537
4/23/2002,240.75,100.345
4/24/2002,240.73,100.2236
4/25/2002,242.92,100.1581
4/26/2002,242.85,100.4947
4/29/2002,242.55,100.3683
4/30/2002,243.15,100.2628
5/2/2002,243.37,99.6515
5/3/2002,244.32,99.8194
5/6/2002,243.63,99.6805
5/7/2002,243.65,99.6267
5/8/2002,242.98,99.9553
5/9/2002,243.99,100.2688
5/10/2002,244.35,100.2241
5/13/2002,243.95,100.1242
5/14/2002,244.62,99.846
5/15/2002,243.62,99.7029
5/16/2002,244.45,99.8388
5/17/2002,245.06,100.0632
5/20/2002,245.98,100.1357
5/21/2002,245.86,100.3189
5/22/2002,243.07,100.3121
5/23/2002,242.35,100.0498
5/24/2002,242.91,100.4495
5/27/2002,242.45,100.4284
5/28/2002,243.22,100.4889
5/29/2002,243.75,100.6755
5/30/2002,243.34,100.5099
5/31/2002,242.6,100.6039
6/3/2002,242.29,100.6696
6/4/2002,242.63,100.5987
6/5/2002,241.68,100.6422
6/6/2002,240.52,100.6212
6/7/2002,241.52,101.0568
6/10/2002,241.6,101.0366
