Date,KRW,NEER
3/12/2001,1185.89,100.275
3/13/2001,1173.26,100.3282
3/14/2001,1172.54,100.5498
3/15/2001,1164.72,100.6437
3/16/2001,1154.16,101.0382
3/19/2001,1166.78,100.9913
3/20/2001,1168.99,101.2908
3/21/2001,1171.4,101.688
3/22/2001,1175.57,101.2839
3/23/2001,1167.89,100.8829
3/26/2001,1171.07,99.8326
3/27/2001,1173.26,100.6781
3/28/2001,1152.69,100.1998
3/29/2001,1168.65,99.7933
3/30/2001,1175.54,99.6783
4/2/2001,1182.47,99.8048
4/3/2001,1189.65,99.4813
4/4/2001,1235.58,99.2067
4/5/2001,1217.25,99.0914
4/6/2001,1199.84,99.2087
4/9/2001,1207.51,99.303
4/10/2001,1192.37,100.1305
4/11/2001,1171.3,100.1049
4/12/2001,1164.57,99.9879
4/17/2001,1164.37,100.0922
4/18/2001,1154.31,100.3322
4/19/2001,1145.74,100.8819
4/20/2001,1180.26,100.7794
4/23/2001,1182.86,100.6158
4/24/2001,1172.32,100.8509
4/25/2001,1170.09,101.1031
4/26/2001,1186.56,100.4968
4/27/2001,1197.35,100.2096
4/30/2001,1171.19,99.7233
5/2/2001,1163.7,99.8218
5/3/2001,1152.94,99.6607
5/4/2001,1154.92,99.6519
5/7/2001,1156.44,99.1838
5/8/2001,1155.24,99.4708
5/9/2001,1149.1,99.5463
5/10/2001,1155.81,99.3796
5/11/2001,1137.86,99.6902
5/14/2001,1134.58,99.9245
5/15/2001,1142.91,99.9399
5/16/2001,1156.37,100.0996
5/17/2001,1147.71,99.608
5/18/2001,1144.52,99.6047
5/21/2001,1139.77,99.2195
5/22/2001,1129.05,99.5798
5/23/2001,1104.46,100.1106
5/24/2001,1105.61,100.4102
5/25/2001,1107.47,100.2594
5/28/2001,1110.77,99.7666
5/29/2001,1102.78,99.4406
5/30/2001,1103.98,99.0758
5/31/2001,1086.29,99.2299
6/1/2001,1088.58,98.7023
6/4/2001,1093.49,97.3749
6/5/2001,1089.02,97.2327
