Date,USD,NEER
1/21/2002,0.884,109.8362
1/22/2002,0.883,110.0016
1/23/2002,0.8856,109.5052
1/24/2002,0.8767,109.429
1/25/2002,0.8663,109.753
1/28/2002,0.8578,109.8732
1/29/2002,0.8624,109.2628
1/30/2002,0.8642,108.9039
1/31/2002,0.8637,108.4204
2/1/2002,0.8632,108.201
2/4/2002,0.8644,107.9275
2/5/2002,0.8683,108.1915
2/6/2002,0.8664,108.3414
2/7/2002,0.8664,108.1743
2/8/2002,0.874,107.8307
2/11/2002,0.8794,107.4657
2/12/2002,0.8753,107.1864
2/13/2002,0.8731,107.1646
2/14/2002,0.8693,107.582
2/15/2002,0.8705,106.8394
2/18/2002,0.8715,107.3456
2/19/2002,0.8692,107.3084
2/20/2002,0.8743,107.0368
2/21/2002,0.8701,107.1491
2/22/2002,0.8747,107.4523
2/25/2002,0.8724,107.3417
2/26/2002,0.8682,107.4216
2/27/2002,0.8649,107.1323
2/28/2002,0.8651,107.3826
3/1/2002,0.8679,107.0818
3/4/2002,0.8649,106.6823
3/5/2002,0.8682,106.3774
3/6/2002,0.8712,105.8669
3/7/2002,0.8764,104.9797
3/8/2002,0.8797,105.3941
3/11/2002,0.8741,104.0801
3/12/2002,0.8733,104.508
3/13/2002,0.8734,103.6253
3/14/2002,0.8803,104.2537
3/15/2002,0.8853,104.789
3/18/2002,0.8792,104.9277
3/19/2002,0.8829,104.9487
3/20/2002,0.8814,105.2334
3/21/2002,0.8817,104.4644
3/22/2002,0.8795,103.9244
3/25/2002,0.8759,103.8685
3/26/2002,0.8737,104.1708
