Date,MXN,NEER
11/26/2010,16.5244,107.2838
11/29/2010,16.4621,106.7996
11/30/2010,16.319,106.3998
12/1/2010,16.2214,106.0182
12/2/2010,16.3014,105.8998
12/3/2010,16.3389,106.2119
12/6/2010,16.446,106.9142
12/7/2010,16.4747,106.5511
12/8/2010,16.5427,107.6799
12/9/2010,16.413,106.8601
12/10/2010,16.4947,107.4352
12/13/2010,16.4982,107.6897
12/14/2010,16.6511,106.3208
12/15/2010,16.5766,106.0587
12/16/2010,16.4469,104.4031
12/17/2010,16.4795,103.2611
12/20/2010,16.3115,104.8467
12/21/2010,16.3017,102.5158
12/22/2010,16.1933,103.6395
12/23/2010,16.1027,102.6405
12/24/2010,16.1904,103.5538
12/27/2010,16.2203,103.4218
12/28/2010,16.2668,103.3799
12/29/2010,16.2676,104.047
12/30/2010,16.4473,103.3729
12/31/2010,16.5475,103.237
1/3/2011,16.4314,104.685
1/4/2011,16.3642,104.7128
1/5/2011,16.1978,105.6323
1/6/2011,15.9448,105.674
1/7/2011,15.8369,104.7365
1/10/2011,15.8223,106.3404
1/11/2011,15.8001,106.1209
1/12/2011,15.6831,105.4173
1/13/2011,15.9292,106.0015
1/14/2011,16.25,106.8632
1/17/2011,16.0125,105.7359
1/18/2011,16.0036,106.1441
1/19/2011,16.2268,105.2111
1/20/2011,16.3188,106.3879
1/21/2011,16.3146,106.1052
1/24/2011,16.3505,105.8458
1/25/2011,16.4593,104.6618
1/26/2011,16.4896,104.7332
1/27/2011,16.4574,105.2236
1/28/2011,16.5103,106.0441
1/31/2011,16.6417,106.6905
2/1/2011,16.6367,106.5974
2/2/2011,16.5974,105.5119
2/3/2011,16.5427,105.0428
2/4/2011,16.3538,103.405
2/7/2011,16.2228,103.5151
2/8/2011,16.3859,104.0772
2/9/2011,16.4647,105.0285
2/10/2011,16.5127,106.0019
2/11/2011,16.3513,105.7017
2/14/2011,16.1932,105.1952
2/15/2011,16.262,104.9237
2/16/2011,16.3809,105.3002
2/17/2011,16.3585,104.801
2/18/2011,16.3544,104.1213
2/21/2011,16.4539,103.9026
2/22/2011,16.5583,103.8743
2/23/2011,16.626,103.4873
2/24/2011,16.7989,102.7115
2/25/2011,16.6656,102.542
2/28/2011,16.735,102.9541
3/1/2011,16.7175,103.5552
3/2/2011,16.7422,104.0519
3/3/2011,16.7066,103.5249
3/4/2011,16.724,102.9295
3/7/2011,16.8308,103.2983
3/8/2011,16.7804,104.155
3/9/2011,16.6906,104.208
3/10/2011,16.4954,101.7594
3/11/2011,16.5368,100.3698
3/14/2011,16.6373,100.6906
3/15/2011,16.7628,101.4552
3/16/2011,16.7828,101.59
3/17/2011,16.9434,102.0765
3/18/2011,17.0148,101.262
3/21/2011,17.0186,101.8496
3/22/2011,17.0204,102.4852
3/23/2011,16.9646,102.2338
3/24/2011,16.9183,101.7091
3/25/2011,16.8688,102.0005
3/28/2011,16.8284,102.0672
